 PC  OP   R   L   M		 BP  SP			REG                                            			STACK
  5 LSS   0   0   1		  1   7			 1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0 		 0  0  0  0  7 36 
  6 JPC   0   0  18		  1   7			 0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0 		 0  0  0  0  7 36 
  7 LOD   0   0   5		  1   7			 7  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0 		 0  0  0  0  7 36 
  8 LOD   1   0   5		  1   7			 7  7  0  0  0  0  0  0  0  0  0  0  0  0  0  0 		 0  0  0  0  7 36 
  9 MUL   0   0   1		  1   7			49  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0 		 0  0  0  0  7 36 
 10 STO   0   0   6		  1   7			 0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0 		 0  0  0  0  7 49 
 11 LOD   0   0   5		  1   7			 7  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0 		 0  0  0  0  7 49 
 12 LIT   1   0   1		  1   7			 7  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0 		 0  0  0  0  7 49 
 13 ADD   0   0   1		  1   7			 8  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0 		 0  0  0  0  7 49 
 14 STO   0   0   5		  1   7			 0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0 		 0  0  0  0  8 49 
 15 LOD   0   0   6		  1   7			49  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0 		 0  0  0  0  8 49 
 16 SIO   0   0   1		  1   7			 0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0 		 0  0  0  0  8 49 
 17 JMP   0   0   3		  1   7			 0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0 		 0  0  0  0  8 49 
  3 LOD   0   0   5		  1   7			 8  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0 		 0  0  0  0  8 49 
  4 LIT   1   0  10		  1   7			 8 10  0  0  0  0  0  0  0  0  0  0  0  0  0  0 		 0  0  0  0  8 49 
  5 LSS   0   0   1		  1   7			 1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0 		 0  0  0  0  8 49 
  6 JPC   0   0  18		  1   7			 0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0 		 0  0  0  0  8 49 
